Designator,Comment,Layer,Footprint,Mid X,MID Y,Rotation,Description
U2,CP2102-GM,T,QFN28_EP,12.7000mm,0.0000mm,360,Single-Chip USB to UART Data Transfer
U1,TLV70233DBVR,T,sot-23-5,7.4422mm,7.4676mm,180,TLV702 300mA 3.3V
R5,0402 4.7K次 (4701) ㊣1%,T,r0402,12.9032mm,-4.3180mm,270,0402 4.7K次 (4701) ㊣1%
R3,0402 4.7K次 (4701) ㊣1%,T,r0402,23.1394mm,4.9276mm,270,0402 4.7K次 (4701) ㊣1%
R2,0402 4.7K次 (4701) ㊣1%,T,r0402,31.3758mm,0.9906mm,0,0402 4.7K次 (4701) ㊣1%
R1,0402 4.7K次 (4701) ㊣1%,T,r0402,1.9812mm,5.1054mm,0,0402 4.7K次 (4701) ㊣1%
Q2,SS8550,T,sot-23-3,26.0096mm,3.5306mm,180,25V NPN
Q1,SS8550,T,sot-23-3,30.3276mm,3.5560mm,0,25V NPN
LED1,LED_GREEN 0603,T,led0603,5.1054mm,5.0800mm,360,LED_GREEN 0603
J7,A1257WR-S-4P,T,SM04B-GHS-TB(LF)(SN),28.4734mm,-8.1896mm,360,A1257WR-S-4P
J6,Header4x1 Male,T,4x1,34.1630mm,0.0000mm,90,Header4x1 Male
J5,A1257WR-S-3P,T,SM03B-GHS-TB(LF)(SN),17.4906mm,8.4436mm,180,A1257WR-S-3P
J4,SM04B-SRSS-TB(LF)(SN),T,SM04B-SRSS-TB(LF)(SN),17.7546mm,-8.4989mm,0,1.0mm pitch/Disconnectable Insulation displacement connectors
J3,SM03B-SRSS-TB(LF)(SN),T,SM03B-SRSS-TB(LF)(SN),7.4422mm,-8.5045mm,360,1.0mm pitch/Disconnectable Insulation displacement connectors
J2,SM06B-SRSS-TB(LF)(SN),T,SM06B-SRSS-TB(LF)(SN),27.9400mm,8.5299mm,180,1.0mm pitch/Disconnectable Insulation displacement connectors
C7,0402 100nF (104) 10% 50V,T,C0402,11.5316mm,-4.2926mm,270,0402 100nF (104) 10% 50V
C6,0402 100nF (104) 10% 50V,T,C0402,10.1854mm,-3.7406mm,270,0402 100nF (104) 10% 50V
C5,0402 1uFㄗ105ㄘ10% 35V,T,C0402,8.8138mm,-3.7152mm,270,0402 1uFㄗ105ㄘ10% 35V
C4,0402 100nF (104) 10% 50V,T,C0402,8.7884mm,-1.5562mm,270,0402 100nF (104) 10% 50V
C3,0402 4.7uF(475) ㊣10% 10V,T,c0402,7.4168mm,-1.5562mm,270,0402 4.7uF(475) ㊣10% 10V
C2,0402 1uFㄗ105ㄘ10% 35V,T,C0402,10.2362mm,7.9824mm,270,0402 1uFㄗ105ㄘ10% 35V
C1,0402 1uFㄗ105ㄘ10% 35V,T,C0402,4.6736mm,7.9248mm,270,0402 1uFㄗ105ㄘ10% 35V
J1,Micro USB connector,T,MICRO-USB-SMD,3.3020mm,0.0000mm,180,Micro USB connector
